"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"SOUP","SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",1.69,0,24,0.87,0,94.86,1.04,1.59
"SOUP","SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",9.88,1.899999976,61,3.2,3.190000057,84.55,0.524,1.09
"SOUP","SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",11.05,0.899999976,75,4.08,0,81.77,0.7,1.74
"SOUP","SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",3.75,0.200000003,41,2.54,0,90.46,0.822,1.85
"SOUP","SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",4.7,0.200000003,30,0.72,0,92.49,0.5,0.97
"CAMPBELL'S CHUNKY SOUPS","CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",11.02,2.900000095,81,6.53,3.670000076,80,0.408,1.22
"SOUP","SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",3.87,0.5,33,2.03,0.25999999,91.84,0.455,1.07
"SOUP","SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",3.27,0.100000001,36,1.11,0.239999995,92.38,1.29,2.07
"CAMPBELL'S CHUNKY SOUPS","CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",7.35,1.200000048,48,3.27,2.039999962,87.1,0.408,0.61
"CAMPBELL'S CHUNKY SOUPS","CAMPBELL'S CHUNKY SOUPS,SMOKED CHICK W/ RSTD CORN CHOWDER",7.76,2,84,4.08,1.220000029,82.2,0.816,4.08
"CAMPBELL'S CHUNKY SOUPS","CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",11.02,1.600000024,69,4.9,2.039999962,81.9,0.408,1.02
"SOUP","SOUP,STOCKPOT,CND,PREP W/ EQ VOLUME H2O",4.65,0,40,1.97,0,90.58,0.35,1.58
"SOUP","SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",8.44,0.600000024,56,1.78,0.730000019,86.99,0.635,1.71
"CAMPBELL'S CHUNKY SOUPS","CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",7.35,0.800000012,53,4.08,0.819999993,86.5,0.204,0.82
"SOUP","SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",8.54,0.699999988,47,0.82,2.950000048,88.52,0.2,1.06
"CAMPBELL'S CHNKY SOUPS","CAMPBELL'S CHNKY SOUPS,TANTALIZIN' TRKY - TRKY CHILI BNS SP",11.02,3.299999952,78,6.12,3.670000076,80.6,0.408,1.02
"SOUP","SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O",3.54,0.300000012,28,1.6,0,92.99,0.23,0.82
"SOUP","SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",3.58,0.200000003,30,1.28,0,92.89,0.37,1.26
"SOUP","SOUP,VEGETARIAN VEG,CND,PREP W/ EQ VOLUME H2O",4.89,0.300000012,28,0.86,1.570000052,92.41,0.12,0.79
"SOUP","SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",4.06,0.800000012,31,2.23,0.449999988,91.8,0.34,0.76
"SOUP","SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",5.35,0.699999988,33,1.21,0.819999993,91.59,0.18,0.78
"SOUP","SOUP,BEAN W/ BACON,DRY,MIX,PREP W/ H2O",6.18,3.400000095,40,2.07,0.230000004,89.73,0.36,0.81
"SOUP","SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",0.25,0,3,0.21,0.200000003,98.69,0.04,0.08
"SOUP","SOUP,BF BROTH,CUBED,PREP W/H2O",0.25,0,3,0.21,0.200000003,98.69,0.04,0.08
"SOUP","SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",0.3,0,4,0.28,0.289999992,98.28,0.057,0.23
"SOUP","SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O",0.62,0,5,0.39,0,97.43,0.03,0.12
"SOUP","SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",5.11,0.100000001,41,0.68,1.590000033,90.94,1.3,2.04
"SOUP","SOUP,CHICK RICE,DRY,MIX,PREP W/ H2O",3.66,0.300000012,24,0.97,0.289999992,93.84,0.13,0.57
"SOUP","SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O",0.78,0,7,0.87,0.449999988,94.75,0,0.08
"SOUP","SOUP,MUSHROOM,DRY,MIX,PREP W/ H2O",4.4,0.200000003,33,0.66,0.180000007,92.36,0.32,1.82
"SOUP","SOUP,ONION,DRY,MIX,PREP W/ H2O",2.77,0.300000012,12,0.32,0.200000003,95.8,0.004,0.01
"SOUP","SOUP,OXTAIL,DRY,MIX,PREP W/ H2O",3.54,0.100000001,28,1.11,0.980000019,92.96,0.5,1.01
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS","CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",4.08,0.400000006,30,1.63,0,92.4,0.204,0.82
"SOUP","SOUP,TOMATO,DRY,MIX,PREP W/ H2O",7.17,0.400000006,38,0.93,3.900000095,89.88,0.286,0.61
"SOUP","SOUP,TOMATO VEG,DRY,MIX,PREP W/ H2O",4.04,0.300000012,22,0.79,0.99000001,94.24,0.15,0.34
"SOUP","SOUP,VEG BF,DRY,MIX,PREP W/ H2O",3.17,0.300000012,21,1.16,0.360000014,94.2,0.22,0.44
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS","CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",5.71,0.400000006,30,0.82,0.409999996,92,0.204,0.41
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS","CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",10.2,1.200000048,64,1.22,6.53000021,84.7,0.408,2.04
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS","CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",9.8,1.200000048,44,1.22,7.349999905,87.4,0,0
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS","CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP",6.12,1.200000048,34,2.04,0.819999993,90.6,0.204,0.2
"CAMPBELL'S SEL GOLD LABEL SOUPS","CAMPBELL'S SEL GOLD LABEL SOUPS,BLNDED RED PEPP BLK BEAN SP",9.39,1.600000024,49,1.22,4.079999924,87.3,0.408,0.61
"CAMPBELL'S SEL GOLD LABEL SOUPS","CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",5.71,0.800000012,42,1.22,0.819999993,90.1,1.224,1.63
"CAMPBELL'S SEL GOLD LABEL SOUPS","CAMPBELL'S SEL GOLD LABEL SOUPS,GOLDEN BUTTERNUT SQSH SOUP",7.35,1.200000048,37,0.82,3.269999981,89.8,0.408,0.61
"CAMPBELL'S SEL MCRWVABLE BOWLS","CAMPBELL'S SEL MCRWVABLE BOWLS,98% FT FR NEW ENGL CLAM CHDER",6.53,1.200000048,43,2.45,0.409999996,88.9,0.204,0.82
"CAMPBELL'S SEL MCRWVABLE BOWLS","CAMPBELL'S SEL MCRWVABLE BOWLS,CHICK W/ EGG NOODLES SOUP",4.9,0.800000012,38,3.27,0.819999993,89.8,0.204,0.61
"CAMPBELL'S SEL MCRWVABLE BWLS","CAMPBELL'S SEL MCRWVABLE BWLS,ITAL SSGE PSTA & PEPRNI SOUP",6.12,0.800000012,53,2.86,2.039999962,87.5,1.02,2.45
"CAMPBELL'S SEL MCRWVABLE BOWLS","CAMPBELL'S SEL MCRWVABLE BOWLS,ITALIAN-STYLE WEDDING SOUP",6.12,0.800000012,45,2.86,2.039999962,89.1,0.408,1.02
"CAMPBELL'S SEL MCRWVABLE BOWLS","CAMPBELL'S SEL MCRWVABLE BOWLS,MEX STYLE CHICK TORTILLA SOUP",7.35,1.200000048,52,3.27,1.220000029,86.9,0.408,1.02
"CAMPBELL'S SEL MICROWAVEABLE BOWLS","CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",7.76,1.600000024,39,1.63,2.039999962,88.7,0,0.2
"CAMPBELL'S SEL MCRWVABLE BOWLS","CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",6.12,0.400000006,38,2.86,1.220000029,89.4,0,0.2
"SOUP","SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",3.67,0.100000001,23,0.84,0.310000002,94.16,0.122,0.55
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",7.35,0.800000012,43,2.04,0.819999993,88.7,0,0.61
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",8.98,0.800000012,54,3.67,1.629999995,85.6,0.204,0.41
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",7.35,0.800000012,46,3.27,0.819999993,88.1,0.204,0.41
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",7.76,0.800000012,44,2.86,1.629999995,88,0.204,0.2
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",7.35,0.800000012,71,4.08,0.409999996,83,0.408,2.86
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",8.16,1.200000048,55,3.27,0.819999993,87,0.408,1.02
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",7.35,1.200000048,63,2.86,2.039999962,86.2,1.02,2.45
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",6.12,0.800000012,47,2.86,1.220000029,89.2,0.612,1.22
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",5.71,1.200000048,47,2.86,1.629999995,88.8,0.612,1.43
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",8.16,1.200000048,53,3.27,0.409999996,86.4,0.408,0.82
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",8.16,1.200000048,43,2.04,2.039999962,88.3,0,0.2
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,NEW ENGLAND CLAM CHOWDER",6.12,0.800000012,64,2.45,0.409999996,87.1,0.816,3.27
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",7.35,1.600000024,49,1.22,0.819999993,89.2,0.408,1.63
"SOUP","SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",2.6,0.100000001,30,2.37,0,92.6,0.61,1.23
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",7.35,0.800000012,43,2.86,0.819999993,88.7,0.204,0.2
"SOUP","SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",3.8,0.100000001,54,1.8,0,90,0.98,3.75
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",6.53,0.800000012,41,3.27,0.819999993,88.7,0.204,0.2
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",12.24,2.900000095,67,3.67,1.629999995,83.1,0.204,0.41
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,SLOW RSTD BF & VEG SOUP",6.53,0.800000012,41,2.45,1.629999995,89,0.204,0.61
"CAMPBELL'S SEL SOUP","CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",11.84,2,67,4.08,2.039999962,82.8,0,0.41
"SOUP","SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",9.6,0.200000003,50,0.92,0,87.17,0.22,1.02
"SOUP","SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",6.57,0.600000024,30,0.79,3.970000029,91.38,0.076,0.28
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",8.57,0.800000012,41,1.22,4.900000095,88.6,0.204,0.2
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",8.57,1.200000048,41,1.22,2.450000048,88.9,0,0.2
"SOUP","SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",65.5,2.400000095,453,9.3,0.730000019,4.7,7.63,17.1
"SOUP","SOUP,BROCCOLI CHS,CND,COND,COMM",7.7,1.799999952,87,2.1,2.119999886,82.7,1.6,5.3
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",6.23,1.299999952,33,0.98,2.950000048,91.1,0.164,0.49
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",3.28,0.699999988,21,0.98,0.330000013,94,0.164,0.49
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",3.61,0.699999988,26,1.31,0.660000026,93.5,0.164,0.66
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",5.57,2.299999952,47,0.98,0.980000019,90.2,0.656,2.3
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",4.26,1.299999952,43,1.31,0.330000013,90.5,0.492,2.95
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",11.15,1.299999952,62,1.31,7.539999962,84.8,0.328,1.31
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",3.28,0.300000012,24,0.98,0.980000019,93.4,0.328,0.82
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",4.26,1.299999952,40,1.31,0,91.6,0.328,1.97
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",3.28,0.300000012,20,0.98,1.639999986,94,0.164,0.33
"CAMPBELL'S SOUP AT HAND","CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",6.89,1.299999952,51,0.66,1.639999986,89.3,0.328,2.3
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",6.25,3.099999905,25,0,6.25,88.6,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",6.25,3.099999905,25,0,6.25,88.6,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",8.33,1.700000048,40,1.67,6.670000076,87.1,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",6.25,0,25,0,6.25,90.7,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",9.38,3.099999905,38,0,6.25,86.6,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",6.25,3.099999905,25,0,6.25,89.3,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",6.25,3.099999905,25,0,6.25,89.9,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",12.5,0,50,0,6.25,85.3,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",6.25,3.099999905,25,0,6.25,88.7,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",1.28,0,5,0,0.850000024,98.2,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",1.28,0,5,0,0.850000024,97.6,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",6.12,0.800000012,45,2.86,1.220000029,89.4,0.612,1.02
"SAUCE","SAUCE,CHS SAU MIX,DRY",60.52,1,438,7.68,10.26000023,3.78,8.44,18.33
"SOUP","SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",7.5,0.899999976,99,3.1,0,82.1,1.75,6.3
"SOUP","SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",7.1,1.399999976,80,3,0,84.2,1.15,4.4
"SOUP","SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",5.6,0.600000024,80,2.7,0,85.3,1.62,5.2
"SOUP","SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",6.8,2.299999952,77,4.2,0,84.1,1.33,3.7
"SOUP","SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",11.3,0,76,5.2,0,81,0.3,1.1
"SOUP","SOUP,BEAN W/BACON,COND,SINGLE BRAND",18,4.599999905,117,6.5,0,70.9,0.601,2.1
"SOUP","SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",8.2,0,61,3.9,0,84.6,0.48,1.4
"SOUP","SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",7.1,0,50,2.3,0,86.8,0.342,1.4
"SOUP","SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",7.7,0,99,2.4,0,81.4,1.61,6.5
"SOUP","SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",21.2,3,140,8.6,0,65.4,0.676,2.3
"SOUP","SOUP,VEG BF,CND,COND,SINGLE BRAND",7.7,0,53,3.8,0,86,0.231,0.8
"SOUP","SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",6.3,0,40,2.7,0,89.5,0.121,0.5
"SOUP","SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",3.3,1.5,44,6.2,0,88.6,0.221,0.7
"SOUP","SOUP,CHUNKY BF W/ COUNTRY VEG,RTS",8.57,0,62,4.08,0,85.3,0.612,1.22
"SAUCE","SAUCE,CHS,RTS",6.83,0.5,174,6.71,0.419999987,70.5,6.01,13.29
"SAUCE","SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",13.76,2.599999905,87,1.78,8.840000153,80.01,0.699,2.69
"CAMPBELL SOUP COMP","CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",10,2.299999952,62,1.54,8.460000038,78.95,0.769,2.31
"SOUP","SOUP,CRM OF CHICK,CND,COND,RED NA",9.5,0.400000006,58,1.8,0.389999986,85.8,0.5,1.3
"SOUP","SOUP,TOMATO,CND,COND,RED NA",13.41,1.200000048,65,1.61,8.109999657,82.5,0.155,0.56
"GRAVY","GRAVY,BROWN INST,DRY",59.78,3.200000048,380,8.53,9.229999542,5.51,5.866,11.85
"GRAVY","GRAVY,INST BF,DRY",61.1,4.300000191,369,9.8,23.89999962,4.65,4.88,9.48
"GRAVY","GRAVY,INST TURKEY,DRY",57.56,3.799999952,409,11.72,7.599999905,5.24,4.931,14.66
"SAUCE","SAUCE,ALFREDO MIX,DRY",36.52,2,535,15.32,5.400000095,2.05,13.18,36.35
"SAUCE","SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",3.9,0.699999988,21,0.9,2.549999952,94.1,0.08,0.6
"SAUCE","SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",5,1.899999976,20,0.7,2.549999952,93.9,0.013,0.1
"No Category","FISH BROTH",0.4,0,16,2,0.090000004,96,0.142,0.6
"SOUP","SOUP,TOMATO,LO NA,W/H2O",6.57,0.600000024,30,0.79,3.970000029,91.38,0.076,0.28
"SOUP","SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",9.88,1.899999976,62,3.2,3.190000057,84.55,0.524,1.09
"SOUP","SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",2.95,0.200000003,25,1.27,0.270000011,93.82,0.262,0.95
"SOUP","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",6.06,1.100000024,33,1.1,2.150000095,91.35,0.074,0.45
"SOUP","SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",4.53,0.200000003,53,1,1.720000029,90.3,1.005,3.7
"POTATO SOUP","POTATO SOUP,INST,DRY MIX",76.14,7.599999905,343,9.2,10,5.8,0.613,3.1
"SOUP","SOUP,CHICK BROTH,LO NA,CND",1.2,0,16,2,0.129999995,96,0.179,0.6
"SAUCE","SAUCE,WORCESTERSHIRE",19.46,0,78,0,10.02999973,78.54,0,0
"SAUCE","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",19.79,5.900000095,104,2.5,10.53999996,68,0.045,0.3
"SAUCE","SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",28.73,0.5,104,2.5,8.960000038,68,0.044,0.3
"SOUP","SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",8.76,0.400000006,69,5.1,1.419999957,83.4,0.597,2
"SAUCE","SAUCE,BARBECUE,LO NA",36.25,0.600000024,150,0,26.05999947,60.34,0,0.29
"SAUCE","SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",13.76,2.599999905,87,1.78,8.840000153,80.01,0.699,2.69
"GRAVY","GRAVY,MEAT OR POULTRY,LO NA,PREP",6.16,0.300000012,53,3.8,0.01,87.5,1.003,2.4
"SOUP","SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",9.58,0.200000003,69,4.3,0.839999974,83.3,1.621,2.3
"No Category","ADOBO FRESCO",18.6,1.299999952,271,2,2.029999971,22.1,2.91,20.9
"SOUP","SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",9,0.600000024,98,5.1,1.679999948,79.9,2.324,4.6
"SOUP","SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",64.88,0.200000003,438,16.7,14.47000027,2.3,3.433,13.89
"SOUP","SOUP,RAMEN NOODLE,BF FLAVOR,DRY",63.27,2.200000048,436,10.29,1.779999971,5.52,7.965,15.71
"SOUP","SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",63.57,2.400000095,437,10.66,1.350000024,4.26,7.095,15.55
"Soup","Soup, Swanson chickne broth",0.14,0,4,0.54,0.150000006,98.1,0,0.17
"GRY","GRY, HNZ Home style beef gravy",6.24,0.699999988,39,1.09,0.519999981,89.97,0.4,1.13
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",6.35,0.800000012,48,2.38,0.790000021,88.2,0.397,1.59
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",9.68,0.800000012,54,0.81,1.610000014,86.5,0,1.61
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",8.06,0.800000012,56,1.61,1.610000014,87.1,0.403,1.61
"CAMPBELL SOUP","CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",6.35,0.800000012,48,2.38,0.790000021,88.6,0.397,1.59
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",12.5,2.5,67,2.5,3.329999924,83.2,0,0.42
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",13.71,0.800000012,73,1.61,8.06000042,81.8,0.403,1.21
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",15.08,2.400000095,79,3.17,3.970000029,79.1,0,0.79
"CAMPBELL SOUP","CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",13.08,2.299999952,69,1.54,7.690000057,82.9,0.385,1.15
"CAMPBELL","CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",10.4,2.400000095,72,1.6,8,80.9,0.4,2.4
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",0,0,8,1.69,0,97.8,0,0
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",5.08,0,42,1.69,1.690000057,90.2,0.847,1.69
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",6.78,0,42,0,3.390000105,88.2,0,1.69
"CAMPBELL SOUP COMPANY","CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",5.08,0,68,0,1.690000057,88.3,1.695,5.08
"BARBECUE LOAF","BARBECUE LOAF,PORK,BEEF",6.4,0,173,15.84,0,64.82,3.17,8.9
"BEERWURST","BEERWURST,BEER SALAMI,PORK & BF",3.76,0.899999976,277,14,0,56.71,8.438,22.53
"BEERWURST","BEERWURST,BEER SALAMI,PORK",2.06,0,238,14.24,0,61.46,6.28,18.8
"No Category","SAUSAGE  BERLINER  PORK  BF",2.59,0,230,15.27,2.349999905,60.97,6.08,17.2
"No Category","BLOOD SAUSAGE",1.29,0,379,14.6,1.289999962,47.3,13.4,34.5
"No Category","BOCKWURST  PORK  VEAL  RAW",2.95,1,301,14.03,1.330000043,54.47,10.256,25.87
"BOLOGNA","BOLOGNA,BF",3.98,0,311,10.27,0,54.26,11.134,28.19
"BOLOGNA","BOLOGNA,BF & PORK",5.49,0,308,15.2,4.420000076,51.87,9.301,24.59
"BOLOGNA","BOLOGNA,PORK",0.73,0,247,15.3,0,60.6,6.88,19.87
"No Category","BOLOGNA  TURKEY",4.68,0.5,209,11.42,2.900000095,64.55,4.355,16.05
"BRATWURST","BRATWURST,PORK,CKD",2.85,0,333,13.72,0,51.45,9.998,29.18
"BRAUNSCHWEIGER (A LIVER SAUSAGE)","BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",3.1,0,327,14.5,0,50.6,9.307,28.5
"BROTWURST","BROTWURST,PORK,BF,LINK",2.93,0,323,14.3,2.980000019,51.3,9.93,27.8
"CHEESEFURTER","CHEESEFURTER,CHS SMOKIE,PORK,BF",1.51,0,328,14.1,1.50999999,52.5,10.47,29
"No Category","CHICKEN ROLL  LT MEAT",4.66,0,110,16.64,0.569999993,72.41,0.621,2.73
"No Category","CHICKEN SPRD",4.05,0.300000012,158,18.01,0.469999999,57.41,3.23,17.56
"CHORIZO","CHORIZO,PORK AND BEEF",1.86,0,455,24.1,0,31.85,14.38,38.27
