"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"SOUR DRSNG","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.68,0,178,3.25,4.679999828,74.79,13.272,16.57
"MILK","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",4.74,0,63,3.33,0,87.67,0.768,3.46
"MILK","MILK,FILLED,FLUID,W/LAURIC ACID OIL",4.74,0,63,3.33,4.739999771,87.73,3.101,3.4
"CREAM SUB","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",11.38,0,136,1,11.38000011,77.27,1.937,9.97
"CREAM SUB","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",11.38,0,136,1,0,77.27,9.304,9.97
"CREAM SUBSTITUTE","CREAM SUBSTITUTE,POWDERED",54.88,0,545,4.79,54.88000107,2.21,32.525,35.48
"DESSERT TOPPING","DESSERT TOPPING,POWDERED",52.54,0,577,4.9,52.54000092,1.47,36.723,39.92
"DESSERT TOPPING","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",16.53,0,188,3.6,16.53000069,66.65,10.684,12.41
"DESSERT TOPPING","DESSERT TOPPING,PRESSURIZED",16.07,0,264,0.98,16.06999969,60.37,18.912,22.3
"DESSERT TOPPING","DESSERT TOPPING,SEMI SOLID,FRZ",23.05,0,318,1.25,23.04999924,50.21,21.783,25.31
"SOUR CRM","SOUR CRM,IMITN,CULTURED",6.63,0,208,2.4,6.630000114,71.15,17.791,19.52
"MILK SUBSTITUTES","MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",6.16,0,61,1.75,6.159999847,88.18,0.767,3.41
"MILK SUBSTITUTES","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",6.16,0,61,1.75,0,88.18,3.037,3.41
"MILK","MILK,WHL,3.25% MILKFAT",4.52,0,60,3.22,5.260000229,88.32,1.865,3.25
"MILK","MILK,PRODUCER,FLUID,3.7% MILKFAT",4.65,0,64,3.28,0,87.69,2.278,3.66
"MILK","MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",4.68,0,50,3.3,5.059999943,89.33,1.257,1.97
